asset_no,warranty_start,warranty_expire,warranty_months
130000014614,2019-11-11,2021-11-11,24
130000014643,2019-11-12,2021-11-12,24
130000014644,2019-11-12,2020-11-12,12
130000014645,2019-11-12,2020-11-12,12
130000014646,2019-11-12,2020-11-12,12
130000014647,2019-11-12,2020-11-12,12
130000014648,2019-11-12,2020-11-12,12
130000014671,2019-10-30,2020-10-30,12
130000014682,2019-11-11,2020-11-11,12
130000014683,2019-11-11,2020-11-11,12
130000014684,2019-11-11,2020-11-11,12
130000014685,2019-11-11,2020-11-11,12
130000014686,2019-11-11,2020-11-11,12
130000014687,2019-11-11,2020-11-11,12
130000014716,2019-11-07,2021-11-07,24
130000014717,2019-11-07,2021-11-07,24
130000014718,2019-11-07,2021-11-07,24
130000014719,2019-11-07,2021-11-07,24
130000014720,2019-11-07,2021-11-07,24
130000014721,2019-11-07,2021-11-07,24
130000014722,2019-11-07,2021-11-07,24
130000014751,2019-11-21,2020-11-21,12
130000014752,2019-11-21,2020-11-21,12
130000014753,2019-11-21,2020-11-21,12
130000014754,2019-11-21,2020-11-21,12
130000014755,2019-11-21,2020-11-21,12
130000014756,2019-11-21,2020-11-21,12
130000014757,2019-11-21,2020-11-21,12
130000014780,2019-11-26,2024-11-26,61
130000014781,2019-11-26,2024-11-26,61
130000014782,2019-11-26,2024-11-26,61
130000014784,2019-11-26,2024-11-26,61
130000014785,2019-11-26,2024-11-26,61
130000014786,2019-11-24,2021-11-24,24
130000014787,2019-11-24,2021-11-24,24
130000014788,2019-11-24,2021-11-24,24
130000014789,2019-11-24,2021-11-24,24
130000014790,2019-11-24,2021-11-24,24
130000014791,2019-11-24,2021-11-24,24
130000014792,2019-11-24,2021-11-24,24
130000014815,2019-11-24,2024-11-24,61
130000014816,2019-11-24,2024-11-24,61
130000014817,2019-11-24,2024-11-24,61
130000014818,2019-11-24,2024-11-24,61
130000014819,2019-11-24,2024-11-24,61
130000014820,2019-11-24,2024-11-24,61
130000014880,2019-10-01,2021-10-01,24
130000014881,2019-10-01,2021-10-01,24
130000014882,2019-10-01,2021-10-01,24
130000015280,2019-11-21,2020-11-21,12
130000015281,2019-11-21,2020-11-21,12
130000015282,2019-11-21,2020-11-21,12
130000015283,2019-11-21,2020-11-21,12
130000015284,2019-11-21,2020-11-21,12
130000015285,2019-11-21,2020-11-21,12
130000015479,2019-10-01,2021-10-01,24
130000015480,2019-10-01,2021-10-01,24
130000015481,2019-10-01,2021-10-01,24
130000015482,2019-10-01,2021-10-01,24
130000015671,2019-11-05,2020-11-05,12
130000015672,2019-11-05,2020-11-05,12
130000015673,2019-11-05,2020-11-05,12
130000015674,2019-11-05,2020-11-05,12
130000015679,2019-11-05,2020-11-05,12
130000015680,2019-11-05,2020-11-05,12
130000015681,2019-11-05,2020-11-05,12
130000015682,2019-11-05,2020-11-05,12
130000015683,2019-11-05,2020-11-05,12
130000015684,2019-11-05,2020-11-05,12
130000015685,2019-11-05,2020-11-05,12
130000015686,2019-11-05,2020-11-05,12
130000015687,2019-11-05,2020-11-05,12
130000015688,2019-11-05,2020-11-05,12
130000015689,2019-11-05,2020-11-05,12
130000015690,2019-11-05,2020-11-05,12
130000015691,2019-12-18,2020-12-18,12
130000015692,2019-12-18,2020-12-18,12
130000015693,2019-12-18,2020-12-18,12
130000015694,2019-12-18,2020-12-18,12
130000015695,2019-12-18,2020-12-18,12
130000015696,2019-12-18,2020-12-18,12
130000015697,2019-12-18,2020-12-18,12
130000015699,2019-12-18,2020-12-18,12
130000015700,2019-12-18,2020-12-18,12
130000015707,2020-01-07,2021-01-07,12
130000015830,2019-11-09,2024-11-09,61
130000015831,2019-11-09,2024-11-09,61
130000015832,2019-11-09,2024-11-09,61
130000015833,2019-11-09,2024-11-09,61
130000015834,2019-11-09,2024-11-09,61
130000015835,2019-11-09,2024-11-09,61
130000015837,2019-11-10,2024-11-10,61
130000015840,2019-12-01,2021-12-01,24
130000015841,2019-12-01,2021-12-01,24
130000015842,2019-12-01,2021-12-01,24
130000015843,2019-12-01,2021-12-01,24
130000015844,2019-12-01,2021-12-01,24
130000015845,2019-12-01,2021-12-01,24
130000015874,2019-12-12,2020-12-12,12
130000015875,2019-12-12,2020-12-12,12
130000015876,2019-12-12,2020-12-12,12
130000015877,2019-12-12,2020-12-12,12
